No. cliente 	 Hora de llegada 	 Clientes en cola 	 Tiempo de espera 	 Tiempo de cajera
	0		09:04			1			1			20
	1		09:08			1			1			11
	2		09:13			1			1			1
	3		09:16			1			1			2
	4		09:21			1			1			22
	5		09:23			1			2			28
	6		09:24			2			2			27
	7		09:28			1			19			5
	8		09:33			2			19			1
	9		09:34			3			19			12
	10		09:36			4			20			28
	11		09:38			5			19			20
	12		09:39			6			26			14
	13		09:44			7			33			22
	14		09:45			8			34			6
	15		09:46			9			38			24
	16		09:51			9			35			20
	17		09:54			8			45			1
	18		09:55			9			46			27
	19		09:58			8			48			12
	20		10:00			9			49			12
	21		10:02			10			56			1
	22		10:06			10			53			27
	23		10:09			11			52			26
	24		10:13			12			55			7
	25		10:16			13			60			8
	26		10:20			12			64			9
	27		10:25			12			62			6
	28		10:30			12			59			15
	29		10:34			13			59			26
	30		10:36			14			58			8
	31		10:38			15			64			21
	32		10:40			15			64			29
	33		10:45			15			74			19
	34		10:47			15			77			1
	35		10:48			16			78			27
	36		10:52			16			81			25
	37		10:55			17			83			4
	38		10:57			18			86			4
	39		11:02			16			85			22
	40		11:05			17			89			5
	41		11:10			17			88			6
	42		11:15			18			85			22
	43		11:18			18			86			23
	44		11:23			19			86			2
	45		11:26			19			86			6
	46		11:28			19			90			21
	47		11:31			19			91			24
	48		11:32			20			96			9
	49		11:36			19			101			11
	50		11:40			20			99			23
	51		11:45			19			101			21
	52		11:47			20			102			23
	53		11:49			21			113			11
	54		11:54			22			113			18
	55		11:58			23			114			27
	56		12:03			23			111			18
	57		12:05			23			121			18
	58		12:07			23			125			19
	59		12:10			24			129			16
	60		12:15			24			129			16
	61		12:19			24			135			27
	62		12:22			25			133			30
	63		12:24			25			136			4
	64		12:29			25			135			25
	65		12:33			26			148			9
	66		12:37			26			148			20
	67		12:39			26			151			29
	68		12:41			26			150			3
	69		12:46			26			148			7
	70		12:51			26			150			5
	71		12:54			26			151			22
	72		12:59			26			148			28
	73		13:03			26			156			7
	74		13:07			27			160			29
	75		13:10			27			158			4
	76		13:13			28			159			29
	77		13:18			28			157			13
	78		13:22			28			166			23
	79		13:24			29			172			9
	80		13:28			29			173			30
	81		13:31			29			174			6
	82		13:34			30			177			21
	83		13:39			31			173			23
	84		13:41			32			190			22
	85		13:45			32			187			29
	86		13:50			32			185			19
	87		13:53			32			200			1
	88		13:56			32			198			14
	89		14:00			33			195			19
	90		14:05			34			196			17
	91		14:09			34			199			20
	92		14:11			35			203			30
	93		14:13			35			205			8
	94		14:18			36			208			22
	95		14:22			36			206			11
	96		14:26			36			213			10
	97		14:31			37			213			24
	98		14:32			38			216			26
	99		14:33			39			216			23
	100		14:36			38			232			30
	101		14:38			39			234			7
	102		14:43			39			231			6
	103		14:47			39			232			14
	104		14:50			40			230			1
	105		14:54			41			227			12
	106		14:58			42			235			23
	107		14:59			43			235			11
	108		15:04			43			234			18
	109		15:09			43			236			19
	110		15:13			42			243			14
	111		15:15			42			242			29
	112		15:18			43			246			24
	113		15:23			43			247			11
	114		15:26			43			255			11
	115		15:30			43			256			18
	116		15:34			44			254			2
	117		15:36			45			254			1
	118		15:37			46			254			20
	119		15:42			46			250			18
	120		15:46			47			258			3
	121		15:51			46			256			25
	122		15:54			46			256			28
	123		15:59			46			252			2

Corrida de banco con 3 cajeras
Longitud de cola maxima: 47
Tiempo de espera maximo (en minutos): 258
Tiempo de espera promedio (en minutos): 133
Clientes atendidos en promedio por cajera: 41
Clientes atendidos en total: 124

